business,category,area,phone,email,website
The Cork & Fork Restaurant,restaurants and cafes,Windhoek,+264812827370,thecorkandfork@lusoquest.com,
Windhoek Sky Restaurant,restaurants and cafes,Windhoek,+264814372595,bookings@windhoekskyrest.com,
The Stellenbosch Wine Bar and Bistro,restaurants and cafes,Windhoek,+26461309141,,
TASTE Windhoek,restaurants and cafes,Windhoek,+264814510310,,
Nimms Restaurant,restaurants and cafes,Windhoek,+264853172488,,
Mukwanghweyo Guest House,guesthouses and lodges,Windhoek,+264815809500,,
Linda Guest House,guesthouses and lodges,Windhoek,+264816637647,,
Mooi Nooi Hairsalon,salons and barbershops,Windhoek,+264817547339,,https://www.mooinooihairsalon.com
Parted Hair Studio,salons and barbershops,Windhoek,+264812804247,,
I AM Hair and Beauty,salons and barbershops,Windhoek,+264811633333,,
Eden Hair and Beauty Salon,salons and barbershops,Windhoek,+264857983092,,
Queen Hair Salon,salons and barbershops,Windhoek,+264816910880,,
